Start,Steps,Max Value,Even Steps,Odd Steps
65546,55,98320,40,15
84792,164,619648,107,57
58142,166,294352,108,58
23794,74,67768,51,23
56571,109,724948,73,36
95085,58,285256,42,16
37893,62,113680,44,18
1016,49,4372,34,15
61814,91,1268944,62,29
27713,152,83140,99,53
8416,83,9232,56,27
62293,104,186880,70,34
23834,51,35752,37,14
4159,51,94768,36,15
62681,60,211552,43,17
20310,87,164752,59,28
6971,57,35296,40,17
72475,156,26778112,102,54
86705,76,260116,53,23
46541,145,139624,95,50
20385,74,61156,51,23
18018,40,27028,30,10
75881,94,576232,64,30
8703,109,952864,72,37
385,32,1156,23,9
405,27,1216,20,7
40944,119,897856,79,40
47927,96,323512,65,31
29190,165,65680,107,58
12764,76,21544,52,24
18385,61,55156,43,18
60101,91,180304,62,29
98143,159,1490560,104,55
9861,73,29584,50,23
80643,94,362896,64,30
50613,57,151840,41,16
23575,82,159136,56,26
23525,51,70576,37,14
69173,37,207520,29,8
10917,161,1276936,104,57
4810,59,7216,41,18
32202,72,48304,50,22
53331,70,324376,49,21
13457,138,40372,90,48
56398,109,214144,73,36
38766,62,130840,44,18
34817,173,104452,112,61
45107,62,202984,44,18
53933,47,161800,35,12
17101,66,51304,46,20
57092,52,57092,38,14
21950,56,166696,40,16
70081,104,959092,70,34
37745,62,113236,44,18
45544,70,45544,49,21
92194,177,138292,115,62
36188,93,61072,63,30
7240,70,7240,48,22
14490,71,21736,49,22
58018,73,123928,51,22
61878,210,234952,135,75
43126,132,560356,87,45
49923,52,224656,38,14
94075,84,476260,58,26
32050,98,61720,66,32
37132,62,41776,44,18
42945,75,128836,52,23
73964,156,93616,102,54
24286,113,599056,75,38
37627,62,321460,44,18
42809,194,144484,125,69
88465,146,345544,96,50
53872,91,53872,62,29
19199,167,984148,108,59
19759,97,320488,65,32
15255,84,102976,57,27
44239,101,447928,68,33
1253,132,9232,85,47
39765,93,119296,63,30
77710,107,262276,72,35
37442,49,56164,36,13
92235,40,415060,31,9
53683,47,241576,35,12
59495,96,1373920,65,31
81318,76,182968,53,23
65216,68,65216,48,20
78588,107,447604,72,35
6950,106,15640,70,36
55394,91,83092,62,29
73554,187,706948,121,66
6942,106,35152,70,36
25935,108,262600,72,36
23387,82,177604,56,26
61887,91,2379184,62,29
75746,94,113620,64,30
83252,182,83252,118,64
94457,128,680884,85,43
53414,70,152116,49,21
56801,104,323512,70,34
97240,190,97240,123,67
42319,132,651544,87,45
70174,81,355264,56,25
70391,130,475144,86,44
52330,47,78496,35,12
43089,150,129268,98,52
39812,75,85048,52,23
55480,153,55480,100,53
85393,50,256180,37,13
87370,164,6810136,107,57
19964,74,170584,51,23
55124,109,55124,73,36
92706,58,139060,42,16
73478,63,165328,45,18
14389,120,43168,79,41
5570,67,23812,46,21
69837,143,209512,94,49
36587,62,208384,44,18
12016,143,21688,93,50
45003,88,202516,60,28
6255,111,120256,73,38
17145,172,65104,111,61
24215,69,163456,48,21
80720,45,80720,34,11
71775,55,1090096,40,15
6091,36,27412,27,9
11638,143,29464,93,50
22416,100,45520,67,33
24072,43,24072,32,11
58244,166,6810136,108,58
41241,212,190996,136,76
83808,107,83808,72,35
33435,90,1626856,61,29
69725,143,209176,94,49
75698,63,127744,45,18
28733,152,86200,99,53
11315,112,50920,74,38
23955,188,138400,121,67
57109,78,171328,54,24
87045,71,261136,50,21
87506,151,479572,99,52
36669,93,223072,63,30
23062,56,51892,40,16
79253,45,237760,34,11
39750,75,89440,52,23
16908,84,19024,57,27
18778,110,28168,73,37
93230,58,314656,42,16
51746,171,1276936,111,60
91866,84,137800,58,26
81819,182,931984,118,64
23625,82,255472,56,26
23322,38,34984,29,9
10489,55,39832,39,16
22575,113,228580,75,38
5241,85,85048,57,28
43222,70,97252,49,21
10479,130,453256,85,45
55646,91,281716,62,29
19263,159,438856,103,56
52797,101,158392,68,33
4433,139,18952,90,49
95258,53,142888,39,14
64292,192,81376,124,68
79105,138,237316,91,47
59400,135,59400,89,46
79715,107,358720,72,35
50429,158,817936,103,55
87732,120,87732,80,40
303,42,3076,29,13
82559,169,27114424,110,59
56,19,56,14,5
8718,171,29428,110,61
28700,77,48436,53,24
73687,125,497392,83,42
67662,68,256912,48,20
44248,44,63016,33,11
16749,66,80512,46,20
4622,152,15604,98,54
15035,63,76120,44,19
5127,147,34612,95,52
5123,147,23056,95,52
18031,92,205396,62,30
82839,151,559168,99,52
84718,120,1100608,80,40
55659,60,250468,43,17
38639,49,990304,36,13
67068,161,572992,105,56
88870,164,199960,107,57
34675,129,156040,85,44
35855,93,363040,63,30
46272,52,46272,38,14
73689,50,248704,37,13
38519,75,260008,52,23
10268,148,17332,96,52
90826,45,136240,34,11
1063,75,8080,50,25
50449,65,151348,46,19
95463,190,17876536,123,67
6230,62,14020,43,19
56794,60,85192,43,17
47916,189,138400,122,67
4633,108,15640,71,37
3597,118,10792,77,41
6169,111,20824,73,38
7562,39,11344,29,10
73795,94,332080,64,30
82153,138,623860,91,47
26735,170,1951288,110,60
6372,124,9232,81,43
26070,77,74248,53,24
79906,169,119860,110,59
12911,169,147076,109,60
73480,187,73480,121,66
77736,50,77736,37,13
81265,182,243796,118,64
23276,144,29464,94,50
72275,249,9635920,159,90
81450,45,122176,34,11
60005,166,180016,108,58
62982,117,141712,78,39
84660,58,84660,42,16
54554,140,81832,92,48
48448,114,48448,76,38
34530,54,51796,39,15
75704,63,75704,45,18
76091,55,385216,40,15
17261,128,51784,84,44
3813,30,11440,23,7
28025,121,359152,80,41
58657,135,175972,89,46
27286,139,61396,91,48
92437,146,277312,96,50
1606,21,3616,17,4
71159,81,512944,56,25
72304,94,72304,64,30
27140,90,28996,61,29
77150,169,390580,110,59
56139,197,252628,127,70
76126,63,385396,45,18
13919,89,211408,60,29
85656,50,85656,37,13
27447,59,185272,42,17
13047,200,190996,128,72
24819,95,119284,64,31
4325,139,12976,90,49
76324,55,163024,40,15
9112,60,9112,42,18
38111,142,846916,93,49
16390,115,36880,76,39
41428,44,41428,33,11
79580,138,134296,91,47
28747,72,129364,50,22
87887,151,889864,99,52
118,33,304,23,10
84472,81,240568,56,25
13235,45,59560,33,12
53442,215,146500,138,77
847,33,8584,24,9
10955,161,49300,104,57
79240,45,79240,34,11
46515,52,209320,38,14
88237,164,264712,107,57
97580,40,109780,31,9
6470,49,14560,35,14
